steam_app_id,name,developer,publisher,release_date,release_year,short_description,about_the_game,tags,genres,categories,review_score,review_score_desc,total_reviews,positive_reviews,negative_reviews,metacritic_score,metacritic_url,header_image,screenshots,is_free,price,sources,extracted_at,step_steam,step_metacritic
1903340,Clair Obscur: Expedition 33,Sandfall Interactive,Kepler Interactive,"24 Apr, 2025",2025,Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again. Explore a world of wonders inspired by Belle Époque France and battle unique enemies in this turn-based RPG with real-time mechanics.,"Once a year, the Paintress wakes and paints upon her monolith. Paints her cursed number. And everyone past that age turns to smoke and fades away. Year by year, that number ticks down and more of us are erased. Tomorrow she’ll wake and paint “33.” And tomorrow we depart on our final mission - Destroy the Paintress, so she can never paint death again. We are Expedition 33.Clair Obscur: Expedition 33 is a ground-breaking turn-based RPG with unique real-time mechanics, making battles more immersive",Turn-Based Combat; Story Rich; Fantasy; RPG; Great Soundtrack; Singleplayer; JRPG; Exploration; Lore-Rich; Adventure; Party-Based RPG; Dark Fantasy; Souls-like; Action RPG; 3D,Action; RPG,Single-player; Steam Achievements; Full controller support; Adjustable Text Size; Custom Volume Controls; Adjustable Difficulty; Stereo Sound; Subtitle Options; Surround Sound; Steam Cloud; Family Sharing,90,Overwhelmingly Positive,242921,232547,10374,91,https://www.metacritic.com/game/pc/clair-obscur-expedition-33?ftag=MCD-06-10aaa1f,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1903340/be3305b02d4db0dffa3458537118423bf2792d7e/header.jpg?t=1766050625,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1903340/ss_483a27df5072beb3a4650634a764bda750fbcb82.1920x1080.jpg?t=1766050625; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1903340/ss_e49800e906e8a0f00707458c836567c933603bac.1920x1080.jpg?t=1766050625; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1903340/ss_b8089016095e6a16e324a59c45b2f24a439bd0b3.1920x1080.jpg?t=1766050625,false,"49,99€",turnbasedlovers,2026-01-10T23:50:17.157Z,success,skipped
646570,Slay the Spire,Mega Crit,Mega Crit,"23 Jan, 2019",2019,"We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck, encounter bizarre creatures, discover relics of immense power, and Slay the Spire!","We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck, encounter bizarre creatures, discover relics of immense power, and Slay the Spire!FeaturesDynamic Deck Building: Choose your cards wisely! Discover hundreds of cards to add to your deck with each attempt at climbing the Spire. Select cards that work together to efficiently dispatch foes and reach the top. An Ever-changing Spire: Whenever you embark on a journey up the Spire, the ",Roguelike Deckbuilder; Card Game; Card Battler; Roguelike; Deckbuilding; Turn-Based; Strategy; Singleplayer; Roguelite; Replay Value; Indie; Difficult; Dungeon Crawler; Mouse only; RPG,Indie; Strategy,Single-player; Steam Achievements; Full controller support; Steam Trading Cards; Steam Workshop; Adjustable Text Size; Custom Volume Controls; Mouse Only Option; Playable without Timed Input; Save Anytime; Touch Only Option; Steam Cloud; Stats; Steam Leaderboards; Remote Play on Phone; Remote Play on Tablet; Remote Play on TV; Family Sharing,90,Overwhelmingly Positive,200349,195763,4586,89,https://www.metacritic.com/game/pc/slay-the-spire?ftag=MCD-06-10aaa1f,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/646570/header.jpg?t=1764833720,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/646570/ss_c171816f7ecd35b5b46d2fa27532f4c5b8ca3cc5.1920x1080.jpg?t=1764833720; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/646570/ss_01aa3e7759e457bfbf2422f31c325d7b3ba8a6eb.1920x1080.jpg?t=1764833720; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/646570/ss_b757436d08ba08292796bfed9c60e7cc99d5f2c3.1920x1080.jpg?t=1764833720,false,"22,99€","steam-search; steam:1666,9; steam:1666,3959; steam:791774,4182; steam:1666,1677",2026-01-10T23:50:09.520Z,success,skipped
2379780,Balatro,LocalThunk,Playstack,"20 Feb, 2024",2024,"The poker roguelike. Balatro is a hypnotically satisfying deckbuilder where you play illegal poker hands, discover game-changing jokers, and trigger adrenaline-pumping, outrageous combos.","Balatro is a poker-inspired roguelike deck builder all about creating powerful synergies and winning big.Combine valid poker hands with unique Joker cards in order to create varied synergies and builds. Earn enough chips to beat devious blinds, all while uncovering hidden bonus hands and decks as you progress. You’re going to need every edge you can get in order to reach the boss blind, beat the final ante and secure victory.The definitive poker roguelike experience.Endless possibilities - every",Card Game; Roguelike; Roguelike Deckbuilder; Deckbuilding; Singleplayer; Strategy; Pixel Graphics; Replay Value; Roguelite; Turn-Based; Casual; Indie; Card Battler; Difficult; 2D,Casual; Indie; Strategy,Single-player; Steam Achievements; Full controller support; Steam Trading Cards; Color Alternatives; Custom Volume Controls; Mouse Only Option; Playable without Timed Input; Touch Only Option; Steam Cloud; Family Sharing,90,Overwhelmingly Positive,179922,176205,3717,90,https://www.metacritic.com/game/pc/balatro?ftag=MCD-06-10aaa1f,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2379780/7a85430784e4d613cdb0547414d8cf16ffa45747/header.jpg?t=1762516142,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2379780/96208723dbedef49d71bf1b0a74aee1689018c50/ss_96208723dbedef49d71bf1b0a74aee1689018c50.1920x1080.jpg?t=1762516142; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2379780/ss_4862112e5030f74a5818cd4c31347d699ac5adf3.1920x1080.jpg?t=1762516142; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2379780/ss_3be65a7dd3be072d567e11883d208861a7e959fa.1920x1080.jpg?t=1762516142,false,$7.99 USD,"steam-search; steam:1666,9; steam:1666,3959; steam:791774,4182; steam:1666,1677",2026-01-10T23:50:09.520Z,success,skipped
1092790,Inscryption,Daniel Mullins Games,Devolver Digital,"19 Oct, 2021",2021,"Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards...","From the creator of Pony Island and The Hex comes the latest mind-melting, self-destructing love letter to video games. Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscribed upon the cards...In Inscryption you will... Acquire a deck of woodland creature cards by draft, surgery, and self mutilation Unlock the secrets lurking behind the walls of ",Card Battler; Card Game; Story Rich; Deckbuilding; Horror; Dark; Puzzle; Roguelike; Strategy; Roguelite; Psychological; Surreal; Experimental; First-Person; Point & Click,Adventure; Indie; Strategy,Single-player; Steam Achievements; Steam Trading Cards; Steam Cloud; Family Sharing,90,Overwhelmingly Positive,140652,136266,4386,85,https://www.metacritic.com/game/pc/inscryption?ftag=MCD-06-10aaa1f,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1092790/header.jpg?t=1762447328,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1092790/ss_0191a69b0e94a9a7784f5b81e27f06379910645a.1920x1080.jpg?t=1762447328; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1092790/ss_3b714682e9e0a214df1630a234e9f6764528eece.1920x1080.jpg?t=1762447328; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1092790/ss_7bfe728822807d232398df1cb1a5d64addd3d8fb.1920x1080.jpg?t=1762447328,false,"19,99€","steam-search; steam:1666,9; steam:1666,3959",2026-01-10T23:50:09.520Z,success,skipped
1449850,Yu-Gi-Oh! Master Duel,KONAMI,KONAMI,"18 Jan, 2022",2022,"Yu-Gi-Oh! MASTER DUEL is the ultimate free-to-play cross-platform strategy card game with fast-paced Duels, stunning HD graphics and a new, dynamic soundtrack! Get ready to challenge Duelists around the world!","Finally, the &quot;Yu-Gi-Oh!&quot; digital card game you've been waiting for!The definitive edition of the competitive card game that has been evolving for over 25 years!Duel at the highest level against Duelists from all over the world.Get ready: it's time to Duel!------------------------------------------------------------------------------ [About &quot;Yu-Gi-Oh! MASTER DUEL&quot;]Now you can play the &quot;Yu-Gi-Oh! TCG,&quot; digitally, anywhere.Fast-paced Duels with stunning HD graphics and",Card Game; Free to Play; Strategy; Trading Card Game; Multiplayer; PvP; Anime; Card Battler; Turn-Based Tactics; Simulation; Tactical; Singleplayer; eSports; Dragons; Fantasy,Simulation; Strategy; Free To Play,Single-player; Multi-player; PvP; Online PvP; Cross-Platform Multiplayer; Steam Achievements; Steam Trading Cards; In-App Purchases,60,Mostly Positive,94861,69004,25857,40,https://www.metacritic.com/game/,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1449850/9204e3438e97166506a9605c05052d02b24087a1/header.jpg?t=1762309929,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1449850/ss_f4e2257edc1cb8093f1f0b40d7daf96211405f90.1920x1080.jpg?t=1762309929; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1449850/ss_6501d1b0e2dc14a5e1031d5e02456d9b72912a0b.1920x1080.jpg?t=1762309929; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1449850/ss_e568cc7bd1896039e2383f48488a262d873fbf20.1920x1080.jpg?t=1762309929,true,Free,"steam:14139,1666; steam:1666,14139; steam:791774,4182",2026-01-11T00:00:56.862Z,success,success
1046930,Dota Underlords,Valve,Valve,"20 Jun, 2019",2019,"Hire a crew and destroy your rivals in this new strategy battler set in the world of Dota. Introducing Season One: Explore White Spire and earn rewards on the Battle Pass. Pick from several different game modes, play on your own or with friends, and take advantage of crossplay on PC and mobile.","NEXT GENERATION AUTO-BATTLERIn Dota Underlords, strategic decisions matter more than twitch reflexes. Underlords includes compelling singleplayer and multiplayer modes, and offers level progression with rewards. Play a strategic Standard game, a quick Knockout match, or co-op Duos match with a friend.SEASON ONE NOW AVAILABLESeason One comes with a City Crawl full of content, a Battle Pass full of rewards, and multiple ways to play online or offline. Dota Underlords is now out of Early Access and",Free to Play; Strategy; Auto Battler; Casual; Multiplayer; Chess; Tactical; Turn-Based Tactics; Turn-Based; Mature; Competitive; Fantasy; Board Game; Card Game; Deckbuilding,Casual; Strategy; Free To Play,Single-player; Multi-player; PvP; Online PvP; Cross-Platform Multiplayer; Color Alternatives; Custom Volume Controls; Keyboard Only Option; Mouse Only Option; Playable without Timed Input; Stereo Sound; Surround Sound; Touch Only Option; Partial Controller Support; Steam Cloud; Remote Play on Phone; Remote Play on Tablet,80,Very Positive,90953,74785,16168,40,https://www.metacritic.com/game/,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1046930/header.jpg?t=1745368592,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1046930/ss_25ad872bc9a8ecf634a76ce1d4bb22aea9b728c9.1920x1080.jpg?t=1745368592; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1046930/ss_1bc613845672667a6e1f957e269543de629ace39.1920x1080.jpg?t=1745368592; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1046930/ss_3eb9d9284194794e69d31b4d764b902d424f1af2.1920x1080.jpg?t=1745368592,true,Free,"steam:1666,9; steam:14139,1666; steam:1666,14139; steam:1666,1677",2026-01-10T23:56:03.228Z,success,success
286160,Tabletop Simulator,Berserk Games,Berserk Games,"5 Jun, 2015",2015,"Tabletop Simulator is the only simulator where you can let your aggression out by flipping the table! There are no rules to follow: just you, a physics sandbox, and your friends. Make your own online board games or play the thousands of community created mods. Unlimited gaming possibilities!","Create your own original games, import custom assets, automate games with scripting, set up complete RPG dungeons, manipulate the physics, create hinges &amp; joints, and of course flip the table when you are losing the game. All with an easy to use system integrated with Steam Workshop. You can do anything you want in Tabletop Simulator. The possibilities are endless!Endless GamesTabletop Simulator has it all. The base game includes 15 classics like Chess, Poker, Jigsaw Puzzles, Dominoes, and M",Tabletop; Board Game; Simulation; Multiplayer; Sandbox; Card Game; VR; Trading Card Game; Physics; Moddable; 3D; Strategy; Casual; Online Co-Op; Wargame,Casual; Indie; RPG; Simulation; Strategy,Single-player; Multi-player; PvP; Online PvP; Shared/Split Screen PvP; Co-op; Online Co-op; Shared/Split Screen Co-op; Shared/Split Screen; Cross-Platform Multiplayer; Steam Achievements; Full controller support; Tracked Controller Support; VR Supported; Steam Trading Cards; Steam Workshop; Steam Cloud; Includes level editor; Remote Play Together; Family Sharing,90,Overwhelmingly Positive,70792,67958,2834,40,https://www.metacritic.com/game/,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/286160/header.jpg?t=1765809682,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/286160/ss_203970c1dd0b8985f9f5c59767517bb7144fb6e9.1920x1080.jpg?t=1765809682; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/286160/ss_6a40bc382133371b901af29c60c53e0bd51cef4f.1920x1080.jpg?t=1765809682; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/286160/ss_e1529236d629827c2f6c4b31196260ceaf04b100.1920x1080.jpg?t=1765809682,false,"19,50€","steam-search; steam:1666,9; steam:1666,17389",2026-01-10T23:50:09.520Z,success,success
489520,Minion Masters,BetaDwarf,BetaDwarf,"24 May, 2019",2019,"An addictive fast-paced hybrid of Card games &amp; Tower-Defense. Play 1v1 - or bring a friend for 2v2 - and engage in epic online multiplayer battles full of innovative strategy and awesome plays! Collect 200+ cards with unique mechanics, all free!","The realm's greatest Masters face off in a never-ending conflict for glory. Will you play Control, Aggressive, Swarm or Giant Minions? Choose a Master matching your playstyle and build the best deck to overthrow your opponents in short intense real-time games!Join millions of players worldwide and discover one of the best ever rated free games on Steam! Minion Masters is insanely fun and simple, but challenging to master. A Dynamic Online Tactical game for both competitive and casual players.Pla",PvE; Trading Card Game; Stylized; Turn-Based Tactics; Free to Play; Multiplayer; Card Battler; PvP; Tactical RPG; Strategy; Deckbuilding; Card Game; Real Time Tactics; Online Co-Op; Colorful,Action; Adventure; Indie; RPG; Strategy; Free To Play,Single-player; Multi-player; PvP; Online PvP; Co-op; Online Co-op; Cross-Platform Multiplayer; Steam Achievements; Full controller support; Steam Trading Cards; In-App Purchases; Steam Cloud; Remote Play on Tablet,80,Very Positive,65105,58238,6867,40,https://www.metacritic.com/game/,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/489520/header.jpg?t=1736542616,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/489520/ss_ff25c94b1cc1a3731c0f51a2a31d9516d725048a.1920x1080.jpg?t=1736542616; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/489520/ss_e4ae57dca3a26ce13a01d4ac2871f711679e0934.1920x1080.jpg?t=1736542616; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/489520/ss_346d2d960336e8093e2a6cf3a2648ddbce10e4b2.1920x1080.jpg?t=1736542616,true,Free,"steam-search; steam:1666,9; steam:14139,1666; steam:1666,14139; steam:791774,4182",2026-01-10T23:50:13.436Z,success,success
470220,UNO,Ubisoft Entertainment,Ubisoft Entertainment,"3 Jan, 2017",2017,"UNO™ is the iconic card game reimagined with a large variety of gameplay and customization options. Play solo or with friends, personalize your experience from rules to cosmetics, and try the Happy Hour!","UNO™ turns the iconic card game into a vibrant, customizable experience.Match cards by color, number, or symbol, play action cards to spice things up, and race against others to empty your hand first. Don’t forget to shout “UNO!” when you’re down to your last card!It’s the UNO you love, now with new ways to play and connect.PLAY IT YOUR WAYTeam up in 2v2, or battle it out in free-for-all matches, either online or on the couch. Combine House Rules like Jump-In and Stacking or 7-0 swaps to create ",Card Game; Multiplayer; Tabletop; Board Game; Casual; Family Friendly; Funny; Strategy; Co-op; Online Co-Op; Singleplayer; Classic; Cult Classic; Local Multiplayer; Replay Value,Casual,Single-player; Multi-player; PvP; Online PvP; Shared/Split Screen PvP; Co-op; Online Co-op; Shared/Split Screen Co-op; Steam Achievements; Full controller support; Steam Trading Cards; Remote Play on Phone; Remote Play on Tablet; Remote Play on TV; Remote Play Together,60,Mostly Positive,53437,37761,15676,40,https://www.metacritic.com/game/,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/470220/b8741c3f32ce4560f33d6a7af256ec8c9828f285/header.jpg?t=1765229632,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/470220/ss_b050b244619bdc27bb3b2cf4b070334385fcbea7.1920x1080.jpg?t=1765229632; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/470220/ss_31903bb595a99d94dfd953300d3ddd6cf120a82b.1920x1080.jpg?t=1765229632; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/470220/ss_afc1aa78d38256d16a9932b369c0df64ab9151ad.1920x1080.jpg?t=1765229632,false,"9,99€","steam:1666,17389",2026-01-11T01:11:36.550Z,success,success
544810,KARDS - The WW2 Card Game,1939 Games,1939 Games,"15 Apr, 2020",2020,"KARDS, The World War II Card Game, combines traditional CCG gameplay with innovative mechanics inspired by classic strategy games and real battlefield tactics. Take command and challenge other players in grand-scale warfare on the ground, air, or seas.","Card Game meets WWIIKARDS, The World War II Card Game, combines traditional CCG gameplay with innovative mechanics inspired by classic strategy games and real battlefield tactics. Take command and challenge other players in grand-scale warfare on the ground, air, or seas. KARDS is completely free to play with all features available from the start. You can earn all cards through regular gameplay, daily missions and an extensive achievement system.Why should you play KARDS?KARDS blends familiar tr",Free to Play; Card Game; World War II; Trading Card Game; Wargame; PvP; Turn-Based Strategy; Strategy; Board Game; Top-Down; Turn-Based Combat; Deckbuilding; Historical; Multiplayer; Tanks,Casual; Indie; Strategy; Free To Play,Single-player; Multi-player; PvP; Online PvP; In-App Purchases; Remote Play on Tablet,60,Mostly Positive,45260,31737,13523,80,https://www.metacritic.com/game/pc/kards?ftag=MCD-06-10aaa1f,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/544810/header.jpg?t=1765450916,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/544810/ss_a57a7f63d6f70484720e7d9213d60e9b87c620aa.1920x1080.jpg?t=1765450916; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/544810/ss_f4754ccd3bdde6cdbb9c71df211d24db7db1c44a.1920x1080.jpg?t=1765450916; https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/544810/ss_d57f7099ecbe1838f7ee717dd50d68b35abd22ba.1920x1080.jpg?t=1765450916,true,Free,"steam:4325,1666; steam:1666,4325",2026-01-11T00:01:10.779Z,success,skipped
